Palavra original (EN),Tradução da palavra (PT-BR),,Palavras que serão utilizadas (por enquanto),,Legenda,
agreement,consentimento,,consentimento,,,"Policy related (relacionados a políticas (de segurança, provavelmente)"
agreements,consentimentos,,políticas,,,Location related (relacionados à localização)
policies,políticas,,política,,,Data access related (relacionados ao acesso de dados)
policy,política,,regulamento,,,Permission related (relacionados a permissões)
regulation,regulamento,,regulamentos,,,Ad related (relacionado a propagandas)
regulations,regulamentos,,regulatório,,,Security related (relacionados à segurança)
regulatory,regulatório,,gps,,,Trust related (relacionados à confiança)
gps,gps,,localização,,,Scam related (relacionados a golpes)
location,localização,,localizações,,,
locations,localizações,,mapa,,,
map,mapa,,comportamento,,,
behavior,comportamento,,comportamental,,,
behavioral,comportamental,,dado,,,
behaviour,comportamento,,dados,,,
behavioural,comportamental,,informação,,,
data,dado/dados,,informações,,,
information,informação/informações,,pessoal,,,
personal,pessoal/pessoais,,pessoais,,,
private,privado,,privado,,,
sharing,compartilhando/compartilhamento/compartilha,,compartilhando,,,
track,segue/localiza,,compartilhamento,,,
tracking,seguindo/localizando,,compartilha,,,
authorisation,autorização,,segue,,,
authorise,autorizar/autoriza,,seguindo,,,
authorization,autorização,,localiza,,,
authorize,autorizar/autoriza,,localizando,,,
consent,consentimento/consentir,,autorização,,,
consenting,consentindo,,autorizar,,,
consents,consentimento,,autoriza,,,
permission,permissão/permitir,,consentimento,,,
permissions,permissões,,consentir,,,
ad,propaganda/anúncio/publicidade,,consentindo,,,
ads,propagandas/anúncios/publicidades,,permissão,,,
advert,propaganda/anúncio/publicidade,,permitir,,,
advertisement,propaganda/anúncio/publicidade,,permissões,,,
advertisements,propagandas/anúncios/publicidades,,propaganda,,,
adverts,propagandas/anúncios/publicidades,,propagandas,,,
adware,não possui tradução,,anúncio,,,
encrypt,criptografar/criptografa,,anúncios,,,
encryption,criptografia,,publicidade,,,
hack,hackear,,publicidades,,,
hacked,hackeado,,adware,,,
hacking,hackeando,,criptografar,,,
hacks,hackeia,,criptografa,,,
insecure,inseguro/insegura/insegurança,,criptografia,,,
phishing,não possui tradução,,hackear,,,
secure,seguro/segura/segurança,,hackeando,,,
secured,seguro/segura/segurança,,hackeado,,,
security,seguro/segura/segurança,,hackeada,,,
unsecure,inseguro/insegura/insegurança,,hackeia,,,
abusive,abusivo/abusiva,,inseguro,,,
ethical,ético/ética,,insegura,,,
open source,código aberto/código livre,,insegurança,,,
open sourced,código aberto/código livre,,seguro,,,
open-source,código aberto/código livre,,segura,,,
protected,protegido/protegida,,segurança,,,
protection,proteção,,abusivo,,,
safe,seguro/segura/segurança,,abusiva,,,
safety,seguro/segura/segurança,,ético,,,
source code,código-fonte,,ética,,,
spyware,não possui tradução,,código aberto,,,
trust,confiar/confia/confio,,código livre,,,
trustworthily,confiável,,protegido,,,
trustwhorthiness,confiabilidade,,protegida,,,
trustworthy,confiável,,proteção,,,
unethical,antiético,,código-fonte,,,
unprotected,desprotegida/desprotegido,,confiar,,,
unprotection,desproteção,,confia,,,
unsafe,inseguro/insegura/insegurança,,confio,,,
untrustworthy,não confiável,,confiável,,,
fraud,fraude/engano/enganar/enganação/fraudulento,,antiético,,,
paid,paga/pago,,desprotegida,,,
pay,pagar,,desprotegido,,,
payment,pagamento,,desproteção,,,
payments,pagamentos,,inseguro,,,
purchase,comprar/compra/compro,,insegura,,,
purchased,comprado/comprada,,insegurança,,,
ripoff,enganar,,spyware,,,
scam,golpe/enganar,,fraude,,,
scammed,enganado/enganada,,fraudulento,,,
scammers,golpista/golpistas,,engano,,,
scamming,fraude/engano/enganação/fraudulento,,enganação,,,
subscribe,assinar/assinatura,,enganar,,,
subscribed,assinado/assinar/assinatura,,paga,,,
subscriber,assinante,,pago,,,
subscription,assinatura,,pagar,,,
,,,pagamento,,,
,,,pagamentos,,,
,,,comprar,,,
,,,compra,,,
,,,compro,,,
,,,comprado,,,
,,,comprada,,,
,,,enganado,,,
,,,enganada,,,
,,,golpe,,,
,,,golpista,,,
,,,golpistas,,,
,,,engana,,,
,,,assinar,,,
,,,assinatura,,,
,,,assinado,,,
,,,assinante,,,
